number,latitude,longitude
204,-74.00776551873444,40.703316452640465
205,-74.00767185555601,40.70428461700451
206,-74.01155838444178,40.70472115752683
207,-74.01118994244091,40.706278727549474
208,-74.01067628730107,40.70711636892415
209,-74.00950278978404,40.70637890799844
210,-74.01032697728546,40.70476279717954
211,-74.00998418639021,40.70514773306061
212,-74.00902906451185,40.70531013814397
213,-74.00986580839673,40.70579642669442
214,-74.00900515682544,40.7069389219611
215,-74.00881270608008,40.706012310690724
216,-74.00869962000453,40.70495605628038
217,-74.00850770275505,40.70506262725155
218,-74.00832722655096,40.70518066148585
219,-74.00815993542382,40.705309042278756
220,-74.00800726930733,40.70544646204437
221,-74.00906648882894,40.705543125432726
222,-74.00864537882697,40.70734001924894
223,-74.00745217354942,40.706051092782424
224,-74.00794861251627,40.7055461878473
225,-74.0082689573428,40.70772193569946
226,-74.00739218802958,40.70518268844734
227,-74.01125467681219,40.707507639990986
228,-74.01123100636393,40.7103668639415
229,-74.01124834903494,40.70830470105733
230,-74.01019980146455,40.707698279262765
231,-74.01101198432674,40.70859402210967
232,-74.0120871880168,40.70907811902945
233,-74.01084638123434,40.70879754433106
234,-74.01054246461933,40.709154147924316
235,-74.00998739167369,40.70980567209292
236,-74.00982891159327,40.708117758825786
237,-74.00979549296575,40.70972483170404
238,-74.00961167558808,40.709632373728454
239,-74.00943770413744,40.709529045484004
240,-74.00927518582132,40.70941580142698
241,-74.00912554205068,40.709293776136725
242,-74.0095427729431,40.710327492848684
243,-74.00937156619065,40.70861378048
244,-74.00965928774562,40.70875672183493
245,-74.00889270211563,40.70904462296036
246,-74.00841836996773,40.70953038525716
247,-74.00800425985108,40.70797679096732
248,-74.00780823673296,40.70908976320099
249,-74.00774466570923,40.710220773242106
250,-74.01167912873701,40.71278054743129
251,-74.0109993711713,40.71332952150038
252,-74.01080076688017,40.71101740712967
253,-74.01046534001382,40.711534547418
254,-74.01012167509398,40.71208469653731
255,-74.00966812317586,40.71272456994184
256,-74.0092546783927,40.713255806100236
257,-74.00947357979138,40.71041254281117
258,-74.0090626476865,40.710886703860744
259,-74.00860085400821,40.71139223921846
260,-74.01171520280342,40.71365779141966
261,-74.01152689662358,40.71429387157819
262,-74.01135998169161,40.71492216975704
263,-74.01207316540442,40.715032603298944
264,-74.01111845036552,40.7155933967927
265,-74.01096713674993,40.71630300074943
266,-74.01056054567228,40.713846275515564
267,-74.01012810711585,40.714382766448324
268,-74.00968975353757,40.714950992901656
269,-74.00923907482891,40.715520167769945
270,-74.00883196169539,40.71379594749612
271,-74.0088232834632,40.71601382407788
272,-74.00838690815769,40.714362293782905
273,-74.00793943373894,40.7149269725289
274,-74.00704712695237,40.703750383402486
275,-74.00689991932089,40.70482424338771
276,-74.00610993873487,40.70435089901279
277,-74.00541669413042,40.70480275549112
278,-74.00712975116888,40.70637505415829
279,-74.00676557731133,40.70562379749624
280,-74.00745861019193,40.7072192986809
281,-74.00678098830699,40.706723807248196
282,-74.00730414817083,40.70732724476362
283,-74.00716291672423,40.70744668754227
284,-74.0070370469101,40.707576152797884
285,-74.00692825088979,40.70771386556981
286,-74.00683778761551,40.707857835701496
287,-74.00621280874205,40.70530681260698
288,-74.00602039500276,40.70614236325495
289,-74.00645561953833,40.70698201154755
290,-74.00569066810965,40.7063750622577
291,-74.00595100503949,40.70720573474395
292,-74.00552261172011,40.70579101677271
293,-74.00520360485899,40.70599726765766
294,-74.00500225440301,40.70685251831758
295,-74.00548224982397,40.70738757214273
296,-74.00474876248073,40.70523122134329
297,-74.00432857306713,40.70782349484228
298,-74.00443853672424,40.70542923818512
299,-74.0045584258664,40.706406864694294
300,-74.00405660256773,40.707436781114936
301,-74.00386895701747,40.70579282222028
302,-74.00764028920658,40.70834524092165
303,-74.00705335855747,40.70987195074253
304,-74.00728273387199,40.70870950912902
305,-74.00653116885161,40.708227126114174
306,-74.00602081450799,40.70790470791269
307,-74.00601167562958,40.708667846539925
308,-74.00643549103405,40.70955732140042
309,-74.00609031783212,40.70991258274471
310,-74.00481660031504,40.708390290487614
311,-74.00583310513998,40.70852072122106
312,-74.00551252957798,40.7090934080224
313,-74.00514773155685,40.709425524367596
314,-74.00526217228413,40.70892071072771
